order_date,category,city,sales,profit,year,month,day,day_of_week,quarter,is_holiday,category_Clothing,category_Electronics,category_Food,city_Islamabad,city_Karachi,city_Lahore
2025-01-01,Food,Karachi,4954,836,2025,1,1,Wednesday,1,1,0,0,1,0,1,0
2025-01-02,Electronics,Karachi,342,908,2025,1,2,Thursday,1,0,0,1,0,0,1,0
2025-01-03,Food,Islamabad,2690,363,2025,1,3,Friday,1,0,0,0,1,1,0,0
2025-01-04,Food,Karachi,1163,983,2025,1,4,Saturday,1,0,0,0,1,0,1,0
2025-01-05,Electronics,Lahore,4424,159,2025,1,5,Sunday,1,0,0,1,0,0,0,1
2025-01-06,Electronics,Lahore,2695,206,2025,1,6,Monday,1,0,0,1,0,0,0,1
2025-01-07,Food,Lahore,1019,824,2025,1,7,Tuesday,1,0,0,0,1,0,0,1
2025-01-08,Clothing,Islamabad,105,80,2025,1,8,Wednesday,1,0,1,0,0,1,0,0
2025-01-09,Food,Karachi,567,958,2025,1,9,Thursday,1,0,0,0,1,0,1,0
2025-01-10,Food,Lahore,4270,399,2025,1,10,Friday,1,0,0,0,1,0,0,1
2025-01-11,Food,Islamabad,103,729,2025,1,11,Saturday,1,0,0,0,1,1,0,0
2025-01-12,Food,Karachi,745,826,2025,1,12,Sunday,1,0,0,0,1,0,1,0
2025-01-13,Electronics,Islamabad,217,459,2025,1,13,Monday,1,0,0,1,0,1,0,0
2025-01-14,Food,Lahore,3028,338,2025,1,14,Tuesday,1,0,0,0,1,0,0,1
2025-01-15,Clothing,Lahore,2651,321,2025,1,15,Wednesday,1,0,1,0,0,0,0,1
2025-01-16,Electronics,Lahore,4389,363,2025,1,16,Thursday,1,0,0,1,0,0,0,1
2025-01-17,Clothing,Islamabad,946,30,2025,1,17,Friday,1,0,1,0,0,1,0,0
2025-01-18,Clothing,Islamabad,2862,81,2025,1,18,Saturday,1,0,1,0,0,1,0,0
2025-01-19,Clothing,Lahore,1241,864,2025,1,19,Sunday,1,0,1,0,0,0,0,1
2025-01-20,Clothing,Islamabad,1910,245,2025,1,20,Monday,1,0,1,0,0,1,0,0
2025-01-21,Electronics,Lahore,823,172,2025,1,21,Tuesday,1,0,0,1,0,0,0,1
2025-01-22,Electronics,Lahore,324,730,2025,1,22,Wednesday,1,0,0,1,0,0,0,1
2025-01-23,Clothing,Karachi,4727,583,2025,1,23,Thursday,1,0,1,0,0,0,1,0
2025-01-24,Clothing,Islamabad,4308,791,2025,1,24,Friday,1,0,1,0,0,1,0,0
2025-01-25,Electronics,Lahore,4754,590,2025,1,25,Saturday,1,0,0,1,0,0,0,1
2025-01-26,Electronics,Lahore,2148,603,2025,1,26,Sunday,1,0,0,1,0,0,0,1
2025-01-27,Electronics,Islamabad,4849,679,2025,1,27,Monday,1,0,0,1,0,1,0,0
2025-01-28,Food,Karachi,4515,880,2025,1,28,Tuesday,1,0,0,0,1,0,1,0
2025-01-29,Food,Karachi,1673,594,2025,1,29,Wednesday,1,0,0,0,1,0,1,0
2025-01-30,Food,Lahore,1928,329,2025,1,30,Thursday,1,0,0,0,1,0,0,1
2025-01-31,Clothing,Islamabad,2017,904,2025,1,31,Friday,1,0,1,0,0,1,0,0
2025-02-01,Food,Karachi,4334,262,2025,2,1,Saturday,1,0,0,0,1,0,1,0
2025-02-02,Clothing,Islamabad,2126,512,2025,2,2,Sunday,1,0,1,0,0,1,0,0
2025-02-03,Clothing,Islamabad,3844,385,2025,2,3,Monday,1,0,1,0,0,1,0,0
2025-02-04,Food,Lahore,1001,349,2025,2,4,Tuesday,1,0,0,0,1,0,0,1
2025-02-05,Clothing,Karachi,4885,126,2025,2,5,Wednesday,1,0,1,0,0,0,1,0
2025-02-06,Food,Lahore,2139,245,2025,2,6,Thursday,1,0,0,0,1,0,0,1
2025-02-07,Food,Karachi,109,844,2025,2,7,Friday,1,0,0,0,1,0,1,0
2025-02-08,Electronics,Karachi,360,237,2025,2,8,Saturday,1,0,0,1,0,0,1,0
2025-02-09,Food,Karachi,1773,956,2025,2,9,Sunday,1,0,0,0,1,0,1,0
2025-02-10,Electronics,Karachi,2319,772,2025,2,10,Monday,1,0,0,1,0,0,1,0
2025-02-11,Food,Karachi,2160,525,2025,2,11,Tuesday,1,0,0,0,1,0,1,0
2025-02-12,Food,Islamabad,3813,278,2025,2,12,Wednesday,1,0,0,0,1,1,0,0
2025-02-13,Electronics,Lahore,1719,907,2025,2,13,Thursday,1,0,0,1,0,0,0,1
2025-02-14,Electronics,Islamabad,420,793,2025,2,14,Friday,1,0,0,1,0,1,0,0
2025-02-15,Food,Karachi,1442,536,2025,2,15,Saturday,1,0,0,0,1,0,1,0
2025-02-16,Clothing,Lahore,2476,792,2025,2,16,Sunday,1,0,1,0,0,0,0,1
2025-02-17,Electronics,Karachi,2932,73,2025,2,17,Monday,1,0,0,1,0,0,1,0
2025-02-18,Clothing,Lahore,2924,66,2025,2,18,Tuesday,1,0,1,0,0,0,0,1
2025-02-19,Clothing,Islamabad,2094,746,2025,2,19,Wednesday,1,0,1,0,0,1,0,0
2025-02-20,Clothing,Lahore,3058,708,2025,2,20,Thursday,1,0,1,0,0,0,0,1
2025-02-21,Electronics,Lahore,2138,540,2025,2,21,Friday,1,0,0,1,0,0,0,1
2025-02-22,Clothing,Lahore,3590,118,2025,2,22,Saturday,1,0,1,0,0,0,0,1
2025-02-23,Electronics,Lahore,3777,39,2025,2,23,Sunday,1,0,0,1,0,0,0,1
2025-02-24,Clothing,Lahore,1218,909,2025,2,24,Monday,1,0,1,0,0,0,0,1
2025-02-25,Food,Karachi,1704,772,2025,2,25,Tuesday,1,0,0,0,1,0,1,0
2025-02-26,Food,Lahore,4127,592,2025,2,26,Wednesday,1,0,0,0,1,0,0,1
2025-02-27,Electronics,Lahore,335,910,2025,2,27,Thursday,1,0,0,1,0,0,0,1
2025-02-28,Food,Islamabad,2069,509,2025,2,28,Friday,1,0,0,0,1,1,0,0
2025-03-01,Food,Lahore,4529,438,2025,3,1,Saturday,1,0,0,0,1,0,0,1
2025-03-02,Clothing,Islamabad,2008,709,2025,3,2,Sunday,1,0,1,0,0,1,0,0
2025-03-03,Electronics,Karachi,475,869,2025,3,3,Monday,1,0,0,1,0,0,1,0
2025-03-04,Clothing,Lahore,3630,81,2025,3,4,Tuesday,1,0,1,0,0,0,0,1
2025-03-05,Clothing,Islamabad,2735,164,2025,3,5,Wednesday,1,0,1,0,0,1,0,0
2025-03-06,Clothing,Islamabad,1670,235,2025,3,6,Thursday,1,0,1,0,0,1,0,0
2025-03-07,Clothing,Karachi,2660,22,2025,3,7,Friday,1,0,1,0,0,0,1,0
2025-03-08,Clothing,Lahore,3491,179,2025,3,8,Saturday,1,0,1,0,0,0,0,1
2025-03-09,Clothing,Lahore,3065,758,2025,3,9,Sunday,1,0,1,0,0,0,0,1
2025-03-10,Clothing,Islamabad,3743,800,2025,3,10,Monday,1,0,1,0,0,1,0,0
2025-03-11,Electronics,Lahore,3950,139,2025,3,11,Tuesday,1,0,0,1,0,0,0,1
2025-03-12,Food,Islamabad,972,912,2025,3,12,Wednesday,1,0,0,0,1,1,0,0
2025-03-13,Clothing,Lahore,1352,108,2025,3,13,Thursday,1,0,1,0,0,0,0,1
2025-03-14,Clothing,Islamabad,1414,348,2025,3,14,Friday,1,0,1,0,0,1,0,0
2025-03-15,Clothing,Lahore,4920,599,2025,3,15,Saturday,1,0,1,0,0,0,0,1
2025-03-16,Clothing,Karachi,2998,929,2025,3,16,Sunday,1,0,1,0,0,0,1,0
2025-03-17,Clothing,Lahore,177,376,2025,3,17,Monday,1,0,1,0,0,0,0,1
2025-03-18,Clothing,Lahore,2721,629,2025,3,18,Tuesday,1,0,1,0,0,0,0,1
2025-03-19,Food,Karachi,4327,286,2025,3,19,Wednesday,1,0,0,0,1,0,1,0
2025-03-20,Food,Lahore,700,636,2025,3,20,Thursday,1,0,0,0,1,0,0,1
2025-03-21,Clothing,Karachi,1165,971,2025,3,21,Friday,1,0,1,0,0,0,1,0
2025-03-22,Food,Lahore,2236,342,2025,3,22,Saturday,1,0,0,0,1,0,0,1
2025-03-23,Electronics,Islamabad,2549,654,2025,3,23,Sunday,1,0,0,1,0,1,0,0
2025-03-24,Clothing,Islamabad,2443,560,2025,3,24,Monday,1,0,1,0,0,1,0,0
2025-03-25,Electronics,Lahore,1963,668,2025,3,25,Tuesday,1,0,0,1,0,0,0,1
2025-03-26,Electronics,Lahore,1418,214,2025,3,26,Wednesday,1,0,0,1,0,0,0,1
2025-03-27,Clothing,Lahore,4811,940,2025,3,27,Thursday,1,0,1,0,0,0,0,1
2025-03-28,Food,Islamabad,3697,757,2025,3,28,Friday,1,0,0,0,1,1,0,0
2025-03-29,Electronics,Lahore,3862,351,2025,3,29,Saturday,1,0,0,1,0,0,0,1
2025-03-30,Clothing,Islamabad,4770,189,2025,3,30,Sunday,1,0,1,0,0,1,0,0
2025-03-31,Electronics,Karachi,2290,540,2025,3,31,Monday,1,0,0,1,0,0,1,0
2025-04-01,Electronics,Islamabad,1092,482,2025,4,1,Tuesday,2,0,0,1,0,1,0,0
2025-04-02,Electronics,Islamabad,2812,59,2025,4,2,Wednesday,2,0,0,1,0,1,0,0
2025-04-03,Electronics,Karachi,2292,556,2025,4,3,Thursday,2,0,0,1,0,0,1,0
2025-04-04,Food,Islamabad,1348,280,2025,4,4,Friday,2,0,0,0,1,1,0,0
2025-04-05,Electronics,Lahore,3154,414,2025,4,5,Saturday,2,0,0,1,0,0,0,1
2025-04-06,Electronics,Lahore,4698,974,2025,4,6,Sunday,2,0,0,1,0,0,0,1
2025-04-07,Electronics,Islamabad,4133,245,2025,4,7,Monday,2,0,0,1,0,1,0,0
2025-04-08,Food,Lahore,2097,143,2025,4,8,Tuesday,2,0,0,0,1,0,0,1
2025-04-09,Electronics,Islamabad,3787,994,2025,4,9,Wednesday,2,0,0,1,0,1,0,0
2025-04-10,Electronics,Lahore,2251,57,2025,4,10,Thursday,2,0,0,1,0,0,0,1
2025-04-11,Food,Lahore,4118,347,2025,4,11,Friday,2,0,0,0,1,0,0,1
2025-04-12,Food,Islamabad,3210,270,2025,4,12,Saturday,2,0,0,0,1,1,0,0
2025-04-13,Food,Lahore,2070,920,2025,4,13,Sunday,2,0,0,0,1,0,0,1
2025-04-14,Electronics,Islamabad,297,195,2025,4,14,Monday,2,0,0,1,0,1,0,0
2025-04-15,Food,Lahore,2726,621,2025,4,15,Tuesday,2,0,0,0,1,0,0,1
2025-04-16,Food,Lahore,1302,933,2025,4,16,Wednesday,2,0,0,0,1,0,0,1
2025-04-17,Electronics,Karachi,2135,473,2025,4,17,Thursday,2,0,0,1,0,0,1,0
2025-04-18,Food,Karachi,577,56,2025,4,18,Friday,2,0,0,0,1,0,1,0
2025-04-19,Electronics,Islamabad,1354,335,2025,4,19,Saturday,2,0,0,1,0,1,0,0
2025-04-20,Clothing,Karachi,1022,707,2025,4,20,Sunday,2,0,1,0,0,0,1,0
2025-04-21,Food,Islamabad,519,992,2025,4,21,Monday,2,0,0,0,1,1,0,0
2025-04-22,Clothing,Karachi,2304,815,2025,4,22,Tuesday,2,0,1,0,0,0,1,0
2025-04-23,Electronics,Lahore,2697,984,2025,4,23,Wednesday,2,0,0,1,0,0,0,1
2025-04-24,Food,Islamabad,1220,992,2025,4,24,Thursday,2,0,0,0,1,1,0,0
2025-04-25,Electronics,Islamabad,3168,612,2025,4,25,Friday,2,0,0,1,0,1,0,0
2025-04-26,Clothing,Lahore,1050,133,2025,4,26,Saturday,2,0,1,0,0,0,0,1
2025-04-27,Electronics,Islamabad,2436,59,2025,4,27,Sunday,2,0,0,1,0,1,0,0
2025-04-28,Food,Islamabad,2343,320,2025,4,28,Monday,2,0,0,0,1,1,0,0
2025-04-29,Food,Karachi,2745,243,2025,4,29,Tuesday,2,0,0,0,1,0,1,0
2025-04-30,Clothing,Islamabad,1957,337,2025,4,30,Wednesday,2,0,1,0,0,1,0,0
2025-05-01,Electronics,Lahore,4712,368,2025,5,1,Thursday,2,0,0,1,0,0,0,1
2025-05-02,Food,Karachi,1965,134,2025,5,2,Friday,2,0,0,0,1,0,1,0
2025-05-03,Clothing,Karachi,3012,717,2025,5,3,Saturday,2,0,1,0,0,0,1,0
2025-05-04,Food,Lahore,2953,342,2025,5,4,Sunday,2,0,0,0,1,0,0,1
2025-05-05,Food,Lahore,3328,587,2025,5,5,Monday,2,0,0,0,1,0,0,1
2025-05-06,Electronics,Karachi,3819,59,2025,5,6,Tuesday,2,0,0,1,0,0,1,0
2025-05-07,Food,Islamabad,3328,885,2025,5,7,Wednesday,2,0,0,0,1,1,0,0
2025-05-08,Electronics,Karachi,2471,59,2025,5,8,Thursday,2,0,0,1,0,0,1,0
2025-05-09,Food,Lahore,2991,878,2025,5,9,Friday,2,0,0,0,1,0,0,1
2025-05-10,Clothing,Karachi,3856,992,2025,5,10,Saturday,2,0,1,0,0,0,1,0
2025-05-11,Food,Lahore,4325,768,2025,5,11,Sunday,2,0,0,0,1,0,0,1
2025-05-12,Electronics,Karachi,194,308,2025,5,12,Monday,2,0,0,1,0,0,1,0
2025-05-13,Electronics,Islamabad,2774,281,2025,5,13,Tuesday,2,0,0,1,0,1,0,0
2025-05-14,Clothing,Karachi,2055,235,2025,5,14,Wednesday,2,0,1,0,0,0,1,0
2025-05-15,Food,Karachi,893,166,2025,5,15,Thursday,2,0,0,0,1,0,1,0
2025-05-16,Food,Lahore,1934,355,2025,5,16,Friday,2,0,0,0,1,0,0,1
2025-05-17,Clothing,Lahore,2216,187,2025,5,17,Saturday,2,0,1,0,0,0,0,1
2025-05-18,Food,Lahore,4206,111,2025,5,18,Sunday,2,0,0,0,1,0,0,1
2025-05-19,Food,Karachi,3425,372,2025,5,19,Monday,2,0,0,0,1,0,1,0
2025-05-20,Electronics,Islamabad,3019,590,2025,5,20,Tuesday,2,0,0,1,0,1,0,0
2025-05-21,Food,Lahore,2697,590,2025,5,21,Wednesday,2,0,0,0,1,0,0,1
2025-05-22,Food,Lahore,3305,835,2025,5,22,Thursday,2,0,0,0,1,0,0,1
2025-05-23,Clothing,Karachi,4907,700,2025,5,23,Friday,2,0,1,0,0,0,1,0
2025-05-24,Clothing,Lahore,914,800,2025,5,24,Saturday,2,0,1,0,0,0,0,1
2025-05-25,Electronics,Islamabad,445,382,2025,5,25,Sunday,2,0,0,1,0,1,0,0
2025-05-26,Food,Islamabad,2449,576,2025,5,26,Monday,2,0,0,0,1,1,0,0
2025-05-27,Food,Lahore,462,364,2025,5,27,Tuesday,2,0,0,0,1,0,0,1
2025-05-28,Food,Lahore,2543,712,2025,5,28,Wednesday,2,0,0,0,1,0,0,1
2025-05-29,Electronics,Karachi,2365,189,2025,5,29,Thursday,2,0,0,1,0,0,1,0
2025-05-30,Electronics,Islamabad,2288,375,2025,5,30,Friday,2,0,0,1,0,1,0,0
2025-05-31,Clothing,Islamabad,3105,210,2025,5,31,Saturday,2,0,1,0,0,1,0,0
2025-06-01,Electronics,Lahore,3381,686,2025,6,1,Sunday,2,0,0,1,0,0,0,1
2025-06-02,Food,Karachi,1084,441,2025,6,2,Monday,2,0,0,0,1,0,1,0
2025-06-03,Food,Islamabad,1739,719,2025,6,3,Tuesday,2,0,0,0,1,1,0,0
2025-06-04,Electronics,Islamabad,927,26,2025,6,4,Wednesday,2,0,0,1,0,1,0,0
2025-06-05,Food,Karachi,2830,152,2025,6,5,Thursday,2,0,0,0,1,0,1,0
2025-06-06,Food,Karachi,3631,766,2025,6,6,Friday,2,0,0,0,1,0,1,0
2025-06-07,Electronics,Islamabad,4551,576,2025,6,7,Saturday,2,0,0,1,0,1,0,0
2025-06-08,Electronics,Islamabad,3035,845,2025,6,8,Sunday,2,0,0,1,0,1,0,0
2025-06-09,Food,Karachi,3976,780,2025,6,9,Monday,2,0,0,0,1,0,1,0
2025-06-10,Food,Islamabad,226,50,2025,6,10,Tuesday,2,0,0,0,1,1,0,0
2025-06-11,Food,Lahore,3277,554,2025,6,11,Wednesday,2,0,0,0,1,0,0,1
2025-06-12,Clothing,Lahore,3156,445,2025,6,12,Thursday,2,0,1,0,0,0,0,1
2025-06-13,Clothing,Karachi,703,413,2025,6,13,Friday,2,0,1,0,0,0,1,0
2025-06-14,Clothing,Karachi,3549,691,2025,6,14,Saturday,2,0,1,0,0,0,1,0
2025-06-15,Electronics,Karachi,4246,382,2025,6,15,Sunday,2,0,0,1,0,0,1,0
2025-06-16,Clothing,Lahore,3633,456,2025,6,16,Monday,2,0,1,0,0,0,0,1
2025-06-17,Electronics,Islamabad,3467,689,2025,6,17,Tuesday,2,0,0,1,0,1,0,0
2025-06-18,Electronics,Lahore,3468,570,2025,6,18,Wednesday,2,0,0,1,0,0,0,1
2025-06-19,Clothing,Islamabad,3897,946,2025,6,19,Thursday,2,0,1,0,0,1,0,0
2025-06-20,Clothing,Lahore,1892,101,2025,6,20,Friday,2,0,1,0,0,0,0,1
2025-06-21,Clothing,Islamabad,2961,375,2025,6,21,Saturday,2,0,1,0,0,1,0,0
2025-06-22,Food,Lahore,3576,277,2025,6,22,Sunday,2,0,0,0,1,0,0,1
2025-06-23,Clothing,Karachi,3517,737,2025,6,23,Monday,2,0,1,0,0,0,1,0
2025-06-24,Food,Lahore,1745,608,2025,6,24,Tuesday,2,0,0,0,1,0,0,1
2025-06-25,Electronics,Islamabad,1305,543,2025,6,25,Wednesday,2,0,0,1,0,1,0,0
2025-06-26,Food,Lahore,3130,314,2025,6,26,Thursday,2,0,0,0,1,0,0,1
2025-06-27,Clothing,Lahore,2972,981,2025,6,27,Friday,2,0,1,0,0,0,0,1
2025-06-28,Electronics,Lahore,3172,243,2025,6,28,Saturday,2,0,0,1,0,0,0,1
2025-06-29,Electronics,Karachi,1954,544,2025,6,29,Sunday,2,0,0,1,0,0,1,0
2025-06-30,Electronics,Lahore,4121,65,2025,6,30,Monday,2,0,0,1,0,0,0,1
2025-07-01,Food,Karachi,4762,686,2025,7,1,Tuesday,3,0,0,0,1,0,1,0
2025-07-02,Clothing,Karachi,2808,132,2025,7,2,Wednesday,3,0,1,0,0,0,1,0
2025-07-03,Electronics,Lahore,3602,252,2025,7,3,Thursday,3,0,0,1,0,0,0,1
2025-07-04,Electronics,Lahore,1432,36,2025,7,4,Friday,3,0,0,1,0,0,0,1
2025-07-05,Electronics,Lahore,301,379,2025,7,5,Saturday,3,0,0,1,0,0,0,1
2025-07-06,Food,Islamabad,3607,242,2025,7,6,Sunday,3,0,0,0,1,1,0,0
2025-07-07,Food,Lahore,4312,885,2025,7,7,Monday,3,0,0,0,1,0,0,1
2025-07-08,Clothing,Karachi,674,719,2025,7,8,Tuesday,3,0,1,0,0,0,1,0
2025-07-09,Food,Lahore,636,467,2025,7,9,Wednesday,3,0,0,0,1,0,0,1
2025-07-10,Electronics,Islamabad,1725,875,2025,7,10,Thursday,3,0,0,1,0,1,0,0
2025-07-11,Clothing,Lahore,2222,384,2025,7,11,Friday,3,0,1,0,0,0,0,1
2025-07-12,Electronics,Islamabad,485,694,2025,7,12,Saturday,3,0,0,1,0,1,0,0
2025-07-13,Electronics,Islamabad,3381,345,2025,7,13,Sunday,3,0,0,1,0,1,0,0
2025-07-14,Food,Lahore,574,486,2025,7,14,Monday,3,0,0,0,1,0,0,1
2025-07-15,Clothing,Karachi,517,433,2025,7,15,Tuesday,3,0,1,0,0,0,1,0
2025-07-16,Food,Islamabad,3700,474,2025,7,16,Wednesday,3,0,0,0,1,1,0,0
2025-07-17,Food,Lahore,1054,605,2025,7,17,Thursday,3,0,0,0,1,0,0,1
2025-07-18,Clothing,Lahore,4958,252,2025,7,18,Friday,3,0,1,0,0,0,0,1
2025-07-19,Electronics,Karachi,1305,243,2025,7,19,Saturday,3,0,0,1,0,0,1,0
2025-07-20,Electronics,Islamabad,4859,850,2025,7,20,Sunday,3,0,0,1,0,1,0,0
2025-07-21,Clothing,Islamabad,4220,431,2025,7,21,Monday,3,0,1,0,0,1,0,0
2025-07-22,Electronics,Lahore,2090,591,2025,7,22,Tuesday,3,0,0,1,0,0,0,1
2025-07-23,Clothing,Lahore,4905,354,2025,7,23,Wednesday,3,0,1,0,0,0,0,1
2025-07-24,Clothing,Karachi,3672,241,2025,7,24,Thursday,3,0,1,0,0,0,1,0
2025-07-25,Food,Karachi,4480,56,2025,7,25,Friday,3,0,0,0,1,0,1,0
2025-07-26,Clothing,Islamabad,4258,297,2025,7,26,Saturday,3,0,1,0,0,1,0,0
2025-07-27,Food,Islamabad,4857,215,2025,7,27,Sunday,3,0,0,0,1,1,0,0
2025-07-28,Electronics,Lahore,2813,935,2025,7,28,Monday,3,0,0,1,0,0,0,1
2025-07-29,Electronics,Islamabad,2303,883,2025,7,29,Tuesday,3,0,0,1,0,1,0,0
2025-07-30,Electronics,Karachi,3220,503,2025,7,30,Wednesday,3,0,0,1,0,0,1,0
2025-07-31,Electronics,Karachi,1066,261,2025,7,31,Thursday,3,0,0,1,0,0,1,0
2025-08-01,Food,Lahore,3532,343,2025,8,1,Friday,3,0,0,0,1,0,0,1
2025-08-02,Electronics,Karachi,788,750,2025,8,2,Saturday,3,0,0,1,0,0,1,0
2025-08-03,Clothing,Karachi,4343,211,2025,8,3,Sunday,3,0,1,0,0,0,1,0
2025-08-04,Clothing,Karachi,3801,36,2025,8,4,Monday,3,0,1,0,0,0,1,0
2025-08-05,Clothing,Karachi,441,543,2025,8,5,Tuesday,3,0,1,0,0,0,1,0
2025-08-06,Food,Lahore,1824,937,2025,8,6,Wednesday,3,0,0,0,1,0,0,1
2025-08-07,Electronics,Lahore,4522,420,2025,8,7,Thursday,3,0,0,1,0,0,0,1
2025-08-08,Electronics,Islamabad,1892,925,2025,8,8,Friday,3,0,0,1,0,1,0,0
2025-08-09,Electronics,Karachi,1859,905,2025,8,9,Saturday,3,0,0,1,0,0,1,0
2025-08-10,Food,Islamabad,3312,724,2025,8,10,Sunday,3,0,0,0,1,1,0,0
2025-08-11,Clothing,Lahore,1089,41,2025,8,11,Monday,3,0,1,0,0,0,0,1
2025-08-12,Clothing,Lahore,2362,493,2025,8,12,Tuesday,3,0,1,0,0,0,0,1
2025-08-13,Electronics,Lahore,2582,139,2025,8,13,Wednesday,3,0,0,1,0,0,0,1
2025-08-14,Clothing,Lahore,1051,229,2025,8,14,Thursday,3,1,1,0,0,0,0,1
2025-08-15,Clothing,Lahore,822,325,2025,8,15,Friday,3,0,1,0,0,0,0,1
2025-08-16,Food,Lahore,3489,289,2025,8,16,Saturday,3,0,0,0,1,0,0,1
2025-08-17,Food,Lahore,2179,723,2025,8,17,Sunday,3,0,0,0,1,0,0,1
2025-08-18,Food,Karachi,2817,706,2025,8,18,Monday,3,0,0,0,1,0,1,0
2025-08-19,Food,Islamabad,2432,304,2025,8,19,Tuesday,3,0,0,0,1,1,0,0
2025-08-20,Electronics,Lahore,3476,735,2025,8,20,Wednesday,3,0,0,1,0,0,0,1
2025-08-21,Food,Karachi,4624,695,2025,8,21,Thursday,3,0,0,0,1,0,1,0
2025-08-22,Clothing,Karachi,1600,782,2025,8,22,Friday,3,0,1,0,0,0,1,0
2025-08-23,Electronics,Islamabad,385,246,2025,8,23,Saturday,3,0,0,1,0,1,0,0
2025-08-24,Clothing,Lahore,3595,967,2025,8,24,Sunday,3,0,1,0,0,0,0,1
2025-08-25,Clothing,Islamabad,2165,400,2025,8,25,Monday,3,0,1,0,0,1,0,0
2025-08-26,Clothing,Lahore,868,479,2025,8,26,Tuesday,3,0,1,0,0,0,0,1
2025-08-27,Food,Karachi,3157,26,2025,8,27,Wednesday,3,0,0,0,1,0,1,0
2025-08-28,Food,Karachi,4389,48,2025,8,28,Thursday,3,0,0,0,1,0,1,0
2025-08-29,Electronics,Karachi,2261,926,2025,8,29,Friday,3,0,0,1,0,0,1,0
2025-08-30,Electronics,Karachi,3393,52,2025,8,30,Saturday,3,0,0,1,0,0,1,0
2025-08-31,Food,Islamabad,1046,665,2025,8,31,Sunday,3,0,0,0,1,1,0,0
2025-09-01,Clothing,Lahore,3435,898,2025,9,1,Monday,3,0,1,0,0,0,0,1
2025-09-02,Electronics,Lahore,4250,98,2025,9,2,Tuesday,3,0,0,1,0,0,0,1
2025-09-03,Food,Islamabad,4995,947,2025,9,3,Wednesday,3,0,0,0,1,1,0,0
2025-09-04,Food,Lahore,4973,966,2025,9,4,Thursday,3,0,0,0,1,0,0,1
2025-09-05,Food,Karachi,1581,478,2025,9,5,Friday,3,0,0,0,1,0,1,0
2025-09-06,Clothing,Lahore,2001,589,2025,9,6,Saturday,3,0,1,0,0,0,0,1
2025-09-07,Food,Karachi,3551,557,2025,9,7,Sunday,3,0,0,0,1,0,1,0
